Brom,species,max.vol,date.collected,Block
V4,Vrisea,2000,2013/03/23,Davidson
V7,Vrisea,1980,2013/03/23,Smith
V12,Vrisea,1730,2013/03/23," "
V5,Vrisea,2740,2013/03/23,
V1,Vrisea,3300,2013/03/23,Smith
V6,Vrisea,2000,2013/03/23,Eccleson
A3,"Aechmea nudicaulis",300,2013/03/24,NA
A2,"Aechmea nudicaulis",800,2013/03/24,NA
A1,"Aechmea nudicaulis",450,2013/03/24,NA
N1,Neoregelia,1200,2013/03/24,Baker
N3,Neoregelia,1250,2013/03/24,NA
N2,Neoregelia,1750,2013/03/24,Davidson
V3,Vrisea,1800,2013/03/23,Baker
V8,Vrisea,2550,2013/03/23,Davidson
V2,Vrisea,1800,2013/03/23,Tennant
V11,Vrisea,2500,2013/03/23,Tennant
V10,Vrisea,2850,2013/03/23,Baker
V9,Vrisea,2200,2013/03/23,Eccleson
A6,"Aechmea nudicaulis",850,2013/03/25,Baker
N5,Neoregelia,830,2013/03/25,Baker
A4,"Aechmea nudicaulis",200,2013/03/25,NA
N6,Neoregelia,1380,2013/03/25,Davidson
A5,"Aechmea nudicaulis",750,2013/03/25,Baker
N4,Neoregelia,570,2013/03/25,NA
A7,"Aechmea nudicaulis",1100,2013/03/26,Davidson
A8,"Aechmea nudicaulis",500,2013/03/26,Davidson
A9,"Aechmea nudicaulis",400,2013/03/26,Eccleson
N7,Neoregelia,650,2013/03/28,Eccleson
N8,Neoregelia,1200,2013/03/28,Eccleson
A10,"Aechmea nudicaulis",1450,2013/03/28,NA
A11,"Aechmea nudicaulis",600,2013/03/28,Eccleson
N10,Neoregelia,750,2013/03/29,
N9,Neoregelia,1025,2013/03/29,Tennant
A13,"Aechmea nudicaulis",700,2013/03/29,Tennant
A12,"Aechmea nudicaulis",550,2013/03/29,Tennant
N11,Neoregelia,630,2013/03/30,Tennant
N12,Neoregelia,720,2013/03/30,Smith
N13,Neoregelia,840,2013/03/30,Smith
A16,"Aechmea nudicaulis",350,2013/03/31,Smith
A14,"Aechmea nudicaulis",500,2013/03/31,Smith
A15,"Aechmea nudicaulis",450,2013/03/31,
