1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EC0000002F6AAF21
Is Mission Active?  true
Mission Start:  Thu Apr 25 11:22:00 GMT-03:00 2013
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  1780
Total Samples:  1780
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
25/04/13 11:22:00 AM,C,29
25/04/13 11:32:00 AM,C,29.5
25/04/13 11:42:00 AM,C,30
25/04/13 11:52:00 AM,C,30
25/04/13 12:02:00 PM,C,30
25/04/13 12:12:00 PM,C,30
25/04/13 12:22:00 PM,C,30.5
25/04/13 12:32:00 PM,C,30.5
25/04/13 12:42:00 PM,C,30.5
25/04/13 12:52:00 PM,C,30.5
25/04/13 1:02:00 PM,C,31
25/04/13 1:12:00 PM,C,31
25/04/13 1:22:00 PM,C,31
25/04/13 1:32:00 PM,C,31
25/04/13 1:42:00 PM,C,30.5
25/04/13 1:52:00 PM,C,30.5
25/04/13 2:02:00 PM,C,30.5
25/04/13 2:12:00 PM,C,30.5
25/04/13 2:22:00 PM,C,30.5
25/04/13 2:32:00 PM,C,30
25/04/13 2:42:00 PM,C,30
25/04/13 2:52:00 PM,C,29.5
25/04/13 3:02:00 PM,C,29.5
25/04/13 3:12:00 PM,C,29.5
25/04/13 3:22:00 PM,C,29
25/04/13 3:32:00 PM,C,29
25/04/13 3:42:00 PM,C,29
25/04/13 3:52:00 PM,C,28.5
25/04/13 4:02:00 PM,C,28.5
25/04/13 4:12:00 PM,C,28
25/04/13 4:22:00 PM,C,28
25/04/13 4:32:00 PM,C,27.5
25/04/13 4:42:00 PM,C,27.5
25/04/13 4:52:00 PM,C,27
25/04/13 5:02:00 PM,C,27
25/04/13 5:12:00 PM,C,26.5
25/04/13 5:22:00 PM,C,26.5
25/04/13 5:32:00 PM,C,26
25/04/13 5:42:00 PM,C,26
25/04/13 5:52:00 PM,C,25.5
25/04/13 6:02:00 PM,C,25.5
25/04/13 6:12:00 PM,C,25
25/04/13 6:22:00 PM,C,25
25/04/13 6:32:00 PM,C,24.5
25/04/13 6:42:00 PM,C,24.5
