## data on insect communities, either initial or final_				
## experimentally homogenized communities are in				
##      homogenized_communities_txt				
## variables:				
## sampling =  'initial' --  observed from wild plants in the				
## field_  Or 'final', meaning after 12 days in experiment_				
## or 'homogenized', meaning the starting  community for the block				
## bromeliad = unique code for each plant OR the experimental block in which six plants were placed				
## spp = species name for each macroinvertebrate				
## abundance = number of macroinverts found				
sampling	bromeliad	spp	abundance	
initial	V4	Tabanid	1	
initial	V4	Chiro	11	
initial	V4	ostra	58	
initial	V4	oligo	2	
initial	V4	Leptagrion	4	
initial	V4	bezzia	1	
initial	V4	forcipomyia	16	
initial	V4	culicid	13	
initial	V4	ephydridae	3	
initial	V7	Chiro	1	
initial	V7	oligo	1	
initial	V7	forcipomyia	8	
initial	V7	corethrella	2	
initial	V12	oligo	1	
initial	V12	Leptagrion	1	
initial	V12	forcipomyia	3	
initial	V12	culicid	3	
initial	V5	Chiro	17	
initial	V5	ostra	45	
initial	V5	Leptagrion	1	
initial	V5	culicid	12	
initial	V5	scirtid	3	
initial	V5	chiro_pupa	1	
initial	V1	Chiro	10	
initial	V1	ostra	1	
initial	V1	oligo	4	
initial	V1	Leptagrion	1	
initial	V1	forcipomyia	11	
initial	V1	culicid	11	
initial	V6	Chiro	4	
initial	V6	ostra	3	
initial	V6	Leptagrion	2	
initial	V6	forcipomyia	1	
initial	V6	culicid	15	
initial	V6	corethrella	4	
initial	V6	scirtid	7	
initial	V6	tipulidae	1	
initial	V9	Chiro	16	
initial	V9	ostra	89	
initial	V9	oligo	12	
initial	V9	Leptagrion	2	
initial	V9	forcipomyia	9	
initial	V9	culicid	9	
initial	V9	ephydridae	1	
initial	V9	corethrella	1	
initial	V9	scirtid	3	
initial	V9	lampyridae	1	
initial	V10	Chiro	2	
initial	V10	ostra	73	
initial	V10	forcipomyia	25	
initial	V10	culicid	10	
initial	V10	ephydridae	1	
initial	V10	scirtid	1	
initial	V10	chironomid_long_antennae	2	
initial	V8	Chiro	12	
initial	V8	ostra	92	
initial	V8	forcipomyia	4	
initial	V8	culicid	3	
initial	V8	corethrella	4	
initial	V8	scirtid	19	
initial	V2	Chiro	2	
initial	V2	ostra	3	
initial	V2	Leptagrion	1	
initial	V2	forcipomyia	14	
initial	V2	ephydridae	1	
initial	V2	corethrella	1	
initial	V3	forcipomyia	2	
initial	V3	culicid	1	
initial	V3	corethrella	1	
initial	V3	scirtid	4	
initial	V3	ceratopogonid	3	
initial	V11	Chiro	3	
initial	V11	ostra	25	
initial	V11	oligo	5	
initial	V11	Leptagrion	1	
initial	V11	forcipomyia	8	
initial	V11	culicid	22	
initial	V11	ephydridae	1	
initial	V11	corethrella	1	
initial	V11	ceratopogonid	4	
initial	N1	Tabanid	1	
initial	N1	Chiro	1	
initial	N1	ostra	6	
initial	N1	oligo	17	
initial	N1	culicid	2	
initial	N1	scirtid	4	
initial	N1	tipulidae	1	
initial	N1	elaterid_possible_terrest	2	
initial	N1	psychodid	1	
initial	N2	Chiro	10	
initial	N2	oligo	27	
