spp,sp_name
aquatic_mite,AquaticMite
atrichopogon,Atrichopogon
bezzia,Bezzia
ceratopogonid,Bezzia
Chiro,Chironomidae
chironomid_long_antennae,Chironomid_longantennae
chiro_pupa,Chironomidae
corethrella,Corethrella
culex,Culex
culicid,Culicidae
Diptera,Diptera_sp
diptera,Diptera_sp
diptera_pupa,Diptera_sp
dytiscid_small,Dytiscidae
elaterid_possible_terrest,Elateridae
elp,Elpidium
elpidium,Elpidium
empididae,Empididae
ephydridae,Ephydridae
forcipomyia,Forcipomyia
Lampyridae,Lampyridae
lampyridae,Lampyridae
large_culicid,Culicidae
Lepidoptera,Lepidoptera
Leptagrion,Leptagrion
leptagrion,Leptagrion
mono,Monopelopia
monopelopia,Monopelopia
oligo,Oligochaete
ortho,Orthocladine
ostra,Elpidium
psychodid,Psychodidae
pupa_ceratopogonid,Bezzia
pupa_culicid,Culicidae
pupa_forcip,Forcipomyia
round_beetle,Coleoptera
scirtid,Scirtes_sp
small_Leptagrion,Leptagrion
Syrphid,Syrphidae
Tabanid,Tabanidae
tabanid,Tabanidae
tabanidsmall,Tabanid_sp2
tipulidae,Tipulidae
