"sampling","bromeliad","Spp","abundance"
"final","A11","Culicidae",2
"final","A11","Ephydridae",1
"final","A11","Forcipomyia",16
"final","A11","Leptagrion",1
"final","A11","Oligochaete",19
"final","A12","Elpidium",10
"final","A12","Forcipomyia",9
"final","A12","Oligochaete",33
"final","A12","Psychodidae",3
"final","A12","Scirtes_sp",2
"final","A12","Tipulidae",5
"final","A13","Atrichopogon",4
"final","A13","Culicidae",1
"final","A13","Elpidium",18
"final","A13","Oligochaete",11
"final","A13","Tipulidae",3
"final","A14","Chironomidae",1
"final","A14","Elpidium",1
"final","A14","Forcipomyia",2
"final","A14","Oligochaete",17
"final","A14","Tabanidae",1
"final","A14","Tipulidae",1
"final","A16","Chironomidae",2
"final","A16","Culicidae",1
"final","A16","Forcipomyia",37
"final","A16","Oligochaete",26
"final","A16","Scirtes_sp",3
"final","A16","Tipulidae",1
"final","A5","Chironomidae",3
"final","A5","Corethrella",1
"final","A5","Dytiscidae",1
"final","A5","Elpidium",4
"final","A5","Forcipomyia",1
"final","A5","Leptagrion",1
"final","A5","Oligochaete",35
"final","A5","Scirtes_sp",10
"final","A5","Tipulidae",1
"final","A6","Chironomidae",12
"final","A6","Oligochaete",32
"final","A6","Scirtes_sp",5
"final","A7","Chironomidae",2
"final","A7","Elpidium",53
"final","A7","Leptagrion",1
"final","A7","Oligochaete",12
"final","A7","Psychodidae",1
"final","A7","Scirtes_sp",3
"final","A7","Tipulidae",1
"final","A8","Chironomidae",2
"final","A8","Forcipomyia",8
"final","A8","Leptagrion",1
"final","A8","Oligochaete",33
"final","A8","Psychodidae",3
"final","A8","Scirtes_sp",6
"final","A9","Chironomidae",3
"final","A9","Culicidae",3
"final","A9","Elpidium",6
"final","A9","Forcipomyia",68
"final","A9","Oligochaete",31
"final","A9","Psychodidae",2
"final","A9","Scirtes_sp",7
"final","N1","Leptagrion",1
"final","N1","Oligochaete",25
"final","N11","Culex",2
"final","N11","Forcipomyia",2
"final","N11","Oligochaete",275
"final","N11","Scirtes_sp",15
"final","N11","Tipulidae",1
"final","N12","Atrichopogon",1
"final","N12","Bezzia",3
"final","N12","Forcipomyia",1
"final","N12","Leptagrion",1
"final","N12","Oligochaete",94
"final","N12","Scirtes_sp",80
"final","N12","Tipulidae",3
"final","N13","Corethrella",1
"final","N13","Culicidae",1
"final","N13","Forcipomyia",1
"final","N13","Leptagrion",1
"final","N13","Monopelopia",1
"final","N13","Oligochaete",36
"final","N13","Scirtes_sp",10
"final","N2","Chironomidae",5
"final","N2","Culicidae",1
"final","N2","Leptagrion",1
"final","N2","Monopelopia",1
"final","N2","Oligochaete",18
"final","N2","Scirtes_sp",3
"final","N2","Tipulidae",4
"final","N20","Chironomidae",7
"final","N20","Culicidae",6
"final","N20","Diptera_sp",31
"final","N20","Forcipomyia",1
"final","N20","Leptagrion",1
"final","N20","Oligochaete",147
"final","N20","Scirtes_sp",4
"final","N21","Chironomidae",5
"final","N21","Culicidae",32
"final","N21","Diptera_sp",12
"final","N21","Forcipomyia",2
"final","N21","Oligochaete",58
"final","N21","Scirtes_sp",8
"final","N21","Tipulidae",1
"final","N22","Chironomidae",3
"final","N22","Culex",5
"final","N22","Diptera_sp",9
"final","N22","Forcipomyia",1
"final","N22","Leptagrion",1
"final","N22","Oligochaete",165
"final","N22","Scirtes_sp",2
"final","N22","Tipulidae",1
"final","N23","Chironomidae",3
"final","N23","Culicidae",3
"final","N23","Forcipomyia",18
"final","N23","Leptagrion",1
"final","N23","Oligochaete",13
"final","N23","Scirtes_sp",1
"final","N24","Chironomidae",1
"final","N24","Corethrella",2
"final","N24","Culicidae",6
"final","N24","Diptera_sp",1
"final","N24","Forcipomyia",6
"final","N24","Leptagrion",1
"final","N24","Oligochaete",25
"final","N24","Scirtes_sp",1
"final","N24","Tipulidae",1
"final","N25","Culicidae",7
"final","N25","Diptera_sp",1
"final","N25","Forcipomyia",1
"final","N25","Leptagrion",1
"final","N25","Oligochaete",45
"final","N27","Chironomidae",2
"final","N27","Culicidae",6
"final","N27","Diptera_sp",19
"final","N27","Forcipomyia",2
"final","N27","Oligochaete",129
"final","N27","Scirtes_sp",1
"final","N28","Chironomidae",1
"final","N28","Culicidae",1
"final","N28","Diptera_sp",7
"final","N28","Forcipomyia",1
"final","N28","Leptagrion",1
"final","N28","Oligochaete",35
"final","N28","Scirtes_sp",2
"final","N28","Tipulidae",1
"final","N29","Chironomidae",2
"final","N29","Culicidae",10
"final","N29","Diptera_sp",19
"final","N29","Forcipomyia",2
"final","N29","Leptagrion",1
"final","N29","Oligochaete",283
"final","N29","Scirtes_sp",9
"final","N30","Atrichopogon",3
"final","N30","Coleoptera",1
"final","N30","Culicidae",1
"final","N30","Diptera_sp",7
"final","N30","Forcipomyia",2
"final","N30","Leptagrion",1
"final","N30","Monopelopia",1
"final","N30","Oligochaete",145
"final","N30","Scirtes_sp",27
"final","N33","Chironomidae",2
"final","N33","Culicidae",4
"final","N33","Diptera_sp",1
"final","N33","Forcipomyia",1
"final","N33","Leptagrion",1
"final","N33","Oligochaete",13
"final","N33","Scirtes_sp",8
"final","N33","Tipulidae",1
"final","N34","Chironomidae",1
"final","N34","Corethrella",1
"final","N34","Culicidae",7
"final","N34","Diptera_sp",3
"final","N34","Leptagrion",1
