## Sp = code name for species / morphospecies,,,,,,,,
## sp.number = a code for the individual within the trial,,,,,,,,
## individual name = a concatenation of the previous two columns, which identifies the individual **within each trial**,,,,,,,,
## trial.name = code from the "trials" dataframe, which matches the trial to information such as the date, temperature etc,,,,,,,,
## Body = length of body (mm).  Present for all individuals,,,,,,,,
## tail = length of tail (mm).  Lept only,,,,,,,,
## date.capture = when did we catch the animal?,,,,,,,,
## time.of.death = how many minutes into the trial the animal finally died.  ,,,,,,,,
## trial.time = a concatenation of "trial.name"."time.of.death"  which gives the time of death within the trial. Used for matching within 'temperatures' to get the temp.,,,,,,,,
Sp,sp.number,individual.name,trial.name,body,tail,date.capture,time.of.death,trial.time
andromache,1,andromache.1,andro.12.mar,12.74,3.77,09-Feb-2012,27,andro.12.mar.27
andromache,2,andromache.2,andro.12.mar,9.38,2.04,14-Feb-2012,27,andro.12.mar.27
andromache,3,andromache.3,andro.12.mar,9.56,3.12,09-Feb-2012,27,andro.12.mar.27
andromache,4,andromache.4,andro.12.mar,4.96,1.79,14-Feb-2012,25,andro.12.mar.25
andromache,5,andromache.5,andro.12.mar,6.8,2.99,16-Feb-2012,27,andro.12.mar.27
andromache,6,andromache.6,andro.12.mar,6.79,2.66,16-Feb-2012,26,andro.12.mar.26
andromache,7,andromache.7,andro.12.mar,6.25,2.73,16-Feb-2011,25,andro.12.mar.25
andromache,8,andromache.8,andro.12.mar,5.83,1.95,16-Feb-2010,27,andro.12.mar.27
andromache,9,andromache.9,andro.12.mar,12.23,3.24,06-Mar-2012,29,andro.12.mar.29
andromache,10,andromache.10,andro.12.mar,9.24,2.58,06-Mar-2012,27,andro.12.mar.27
elongatum,1,elongatum.1,elong.13.mar,16.18,5.52,08-Feb-2012,24,elong.13.mar.24
elongatum,2,elongatum.2,elong.13.mar,15.24,4.97,26-Feb-2012,24,elong.13.mar.24
elongatum,3,elongatum.3,elong.13.mar,15.21,4.31,28-Feb-2012,24,elong.13.mar.24
elongatum,4,elongatum.4,elong.13.mar,15.04,4.17,03-Mar-2012,24,elong.13.mar.24
elongatum,5,elongatum.5,elong.13.mar,10.01,3.66,05-Mar-2012,23,elong.13.mar.23
elongatum,6,elongatum.6,elong.13.mar,15.89,4.57,06-Mar-2012,23,elong.13.mar.23
elongatum,7,elongatum.7,elong.13.mar,8.64,2.91,07-Mar-2012,23,elong.13.mar.23
elongatum,8,elongatum.8,elong.13.mar,11.11,3.63,07-Mar-2012,24,elong.13.mar.24
elongatum,9,elongatum.9,elong.13.mar,7.26,2.44,05-Mar-2012,22,elong.13.mar.22
elongatum,10,elongatum.10,elong.13.mar,6.7,2.49,07-Mar-2012,23,elong.13.mar.23
Dysticid,1,Dysticid.1,dyst.13.mar,4.86,,,37,dyst.13.mar.37
Dysticid,2,Dysticid.2,dyst.13.mar,5.15,,,37,dyst.13.mar.37
Dysticid,3,Dysticid.3,dyst.13.mar,5.31,,,37,dyst.13.mar.37
Dysticid,4,Dysticid.4,dyst.13.mar,5.09,,,38,dyst.13.mar.38
Dysticid,5,Dysticid.5,dyst.13.mar,5.16,,,37,dyst.13.mar.37
Dysticid,6,Dysticid.6,dyst.13.mar,4.92,,,37,dyst.13.mar.37
Dysticid,7,Dysticid.7,dyst.13.mar,4.9,,,37,dyst.13.mar.37
Dysticid,8,Dysticid.8,dyst.13.mar,5.33,,,37,dyst.13.mar.37
Dysticid,9,Dysticid.9,dyst.13.mar,5.02,,,37,dyst.13.mar.37
Trichoptera,1,Trichoptera.1,trich.14.mar,8.84,,,31,trich.14.mar.31
Trichoptera,2,Trichoptera.2,trich.14.mar,11.12,,,31,trich.14.mar.31
Trichoptera,3,Trichoptera.3,trich.14.mar,11.84,,,31,trich.14.mar.31
Trichoptera,4,Trichoptera.4,trich.14.mar,8.52,,,31,trich.14.mar.31
Trichoptera,5,Trichoptera.5,trich.14.mar,8.59,,,32,trich.14.mar.32
Trichoptera,6,Trichoptera.6,trich.14.mar,9.08,,,32,trich.14.mar.32
Trichoptera,7,Trichoptera.7,trich.14.mar,9.54,,,32,trich.14.mar.32
Trichoptera,8,Trichoptera.8,trich.14.mar,10.78,,,32,trich.14.mar.32
Trichoptera,9,Trichoptera.9,trich.14.mar,11.48,,,33,trich.14.mar.33
Trichoptera,10,Trichoptera.10,trich.14.mar,9.51,,,32,trich.14.mar.32
