"sampling","bromeliad","Spp","abundance"
"final","A11","Bdelloidea",6
"final","A12","Bdelloidea",46
"final","A12","Centropyxis_aculeata",5
"final","A13","Bdelloidea",53
"final","A13","Cyclopoida_adult",2
"final","A14","Bdelloidea",13
"final","A16","Bdelloidea",5
"final","A5","Bdelloidea",4
"final","A6","Bdelloidea",3
"final","A7","Bdelloidea",10
"final","A7","Centropyxis_aculeata",1
"final","A8","Bdelloidea",23
"final","A9","Bdelloidea",11
"final","N1","Bdelloidea",18
"final","N1","Centropyxis_aculeata",30
"final","N1","Centropyxis_discoides",8
"final","N1","Cyclopoida_nauplius",1
"final","N1","Harpacticoida_adult",1
"final","N11","Bdelloidea",17
"final","N11","Cyclopoida_nauplius",2
"final","N12","Bdelloidea",11
"final","N13","Bdelloidea",23
"final","N2","Bdelloidea",5
"final","N2","Centropyxis_aculeata",12
"final","N2","Centropyxis_discoides",1
"final","N2","Harpacticoida_adult",3
"final","N2","Harpacticoida_nauplius",2
"final","N5","Bdelloidea",12
"final","N6","Bdelloidea",43
"final","N6","Centropyxis_aculeata",1
"final","N6","Lecane_decipiens",1
"final","N6","Tardigrada",1
"final","N7","Bdelloidea",8
"final","N8","Bdelloidea",158
"final","N9","Bdelloidea",5
"final","N9","Centropyxis_aculeata",17
"final","N9","Cyclopoida_nauplius",1
"final","N9","Harpacticoida_adult",1
"final","V1","Bdelloidea",2
"final","V1","Harpacticoida_adult",1
"final","V1","Harpacticoida_nauplius",3
"final","V10","Bdelloidea",23
"final","V10","Harpacticoida_adult",1
"final","V10","Harpacticoida_nauplius",6
"final","V11","Bdelloidea",14
"final","V11","Harpacticoida_adult",3
"final","V11","Harpacticoida_nauplius",9
"final","V2","Bdelloidea",4
"final","V2","Harpacticoida_adult",5
"final","V2","Harpacticoida_nauplius",5
"final","V2","Lecane_decipiens",1
"final","V3","Bdelloidea",9
"final","V3","Harpacticoida_adult",1
"final","V3","Harpacticoida_nauplius",7
"final","V4","Bdelloidea",3
"final","V4","Harpacticoida_nauplius",2
"final","V4","Lecane_decipiens",1
"final","V6","Bdelloidea",3
"final","V7","Bdelloidea",1
"final","V8","Bdelloidea",6
"final","V8","Centropyxis_aculeata",2
"final","V8","Centropyxis_discoides",1
"final","V8","Harpacticoida_nauplius",2
"final","V9","Harpacticoida_nauplius",1
"initial","A11","Bdelloidea",1
"initial","A12","Bdelloidea",16
"initial","A13","Bdelloidea",5
"initial","A14","Bdelloidea",2
"initial","A16","Bdelloidea",2
"initial","A5","Bdelloidea",3
"initial","A6","Bdelloidea",6
"initial","A6","Cyclopoida_adult",2
"initial","A7","Bdelloidea",14
"initial","A8","none",0
"initial","A9","Bdelloidea",10
"initial","N1","Bdelloidea",3
"initial","N1","Centropyxis_aculeata",111
"initial","N1","Centropyxis_discoides",45
"initial","N1","Cyclopoida_adult",3
"initial","N11","Bdelloidea",3
"initial","N12","Bdelloidea",17
"initial","N13","Bdelloidea",5
"initial","N2","Bdelloidea",4
"initial","N2","Centropyxis_aculeata",278
"initial","N2","Centropyxis_discoides",54
"initial","N2","Harpacticoida_adult",2
"initial","N5","Bdelloidea",51
"initial","N5","Harpacticoida_nauplius",1
"initial","N6","Lecane_bulla",1
"initial","N7","Bdelloidea",5
"initial","N8","Bdelloidea",54
"initial","N8","Lecane_decipiens",2
"initial","N9","Bdelloidea",5
"initial","N9","Centropyxis_aculeata",69
"initial","N9","Cyclopoida_adult",10
"initial","N9","Cyclopoida_nauplius",4
"initial","N9","Lecane_decipiens",1
"initial","V1","Bdelloidea",1
"initial","V1","Cyclopoida_adult",1
"initial","V1","Cyclopoida_nauplius",1
"initial","V1","Harpacticoida_adult",1
"initial","V10","Bdelloidea",2
"initial","V10","Cyclopoida_adult",3
"initial","V10","Cyclopoida_nauplius",2
"initial","V10","Harpacticoida_adult",1
"initial","V10","Harpacticoida_nauplius",1
"initial","V12","Bdelloidea",2
"initial","V12","Harpacticoida_adult",1
"initial","V12","Harpacticoida_nauplius",2
"initial","V2","Cyclopoida_adult",1
"initial","V2","Harpacticoida_adult",4
"initial","V2","Harpacticoida_nauplius",1
"initial","V3","Bdelloidea",9
"initial","V3","Cyclopoida_adult",1
"initial","V3","Harpacticoida_adult",7
"initial","V3","Harpacticoida_nauplius",7
"initial","V4","Cyclopoida_nauplius",1
"initial","V4","Harpacticoida_adult",1
"initial","V4","Harpacticoida_nauplius",2
"initial","V6","Bdelloidea",3
"initial","V6","Cyclopoida_adult",2
"initial","V6","Harpacticoida_adult",3
"initial","V7","Cyclopoida_adult",2
"initial","V7","Cyclopoida_nauplius",1
"initial","V7","Harpacticoida_adult",1
"initial","V7","Harpacticoida_nauplius",3
"initial","V8","Cyclopoida_adult",1
"initial","V8","Harpacticoida_adult",3
"initial","V8","Harpacticoida_nauplius",2
"initial","V9","Bdelloidea",1
"initial","V9","Cyclopoida_adult",1
"initial","V9","Harpacticoida_adult",5
"initial","V9","Harpacticoida_nauplius",2
