block,sampling,bromeliad,Spp,abundance
Baker,initial,A5,Bdelloidea,3
Baker,initial,N5,Bdelloidea,51
Baker,initial,N5,Harpacticoida_nauplius,1
Baker,initial,V3,Bdelloidea,9
Baker,initial,V3,Harpacticoida_nauplius,7
Baker,initial,V3,Harpacticoida_adult,7
Baker,initial,V3,Cyclopoida_adult,1
Baker,initial,A6,Bdelloidea,6
Baker,initial,A6,Cyclopoida_adult,2
Baker,initial,V10,Bdelloidea,2
Baker,initial,V10,Harpacticoida_nauplius,1
Baker,initial,V10,Harpacticoida_adult,1
Baker,initial,V10,Cyclopoida_nauplius,2
Baker,initial,V10,Cyclopoida_adult,3
Baker,initial,N1,Bdelloidea,3
Baker,initial,N1,Centropyxis_aculeata,111
Baker,initial,N1,Centropyxis_discoides,45
Baker,initial,N1,Cyclopoida_adult,3
Baker,final,A5,Bdelloidea,4
Baker,final,N5,Bdelloidea,12
Baker,final,V3,Bdelloidea,9
Baker,final,V3,Harpacticoida_nauplius,7
Baker,final,V3,Harpacticoida_adult,1
Baker,final,A6,Bdelloidea,3
Baker,final,V10,Bdelloidea,23
Baker,final,V10,Harpacticoida_nauplius,6
Baker,final,V10,Harpacticoida_adult,1
Baker,final,N1,Bdelloidea,18
Baker,final,N1,Centropyxis_aculeata,30
Baker,final,N1,Centropyxis_discoides,8
Baker,final,N1,Harpacticoida_adult,1
Baker,final,N1,Cyclopoida_nauplius,1
Eccleson,initial,N8,Bdelloidea,54
Eccleson,initial,V9,Bdelloidea,1
Eccleson,initial,V9,Harpacticoida_nauplius,2
Eccleson,initial,V9,Harpacticoida_adult,4
Eccleson,initial,V9,Cyclopoida_adult,1
Eccleson,initial,V6,Bdelloidea,3
Eccleson,initial,V6,Harpacticoida_adult,2
Eccleson,initial,V6,Cyclopoida_adult,2
Eccleson,initial,N7,Bdelloidea,5
Eccleson,initial,A9,Bdelloidea,10
Eccleson,initial,A11,Bdelloidea,1
Eccleson,final,N8,Bdelloidea,158
Eccleson,initial,N8,Lecane_decipiens,2
Eccleson,final,V9,Harpacticoida_nauplius,1
Eccleson,initial,V9,Harpacticoida_adult,1
Eccleson,final,V6,Bdelloidea,3
Eccleson,initial,V6,Harpacticoida_adult,1
Eccleson,final,N7,Bdelloidea,8
Eccleson,final,A9,Bdelloidea,11
Eccleson,final,A11,Bdelloidea,6
Davidson,initial,A8,0,NA
Davidson,initial,V4,Cyclopoida_nauplius,1
Davidson,initial,V4,Harpacticoida_nauplius,2
Davidson,initial,V4,Harpacticoida_adult,1
Davidson,initial,N6,Lecane_bulla,1
Davidson,initial,N2,Bdelloidea,4
Davidson,initial,N2,Centropyxis_aculeata,278
Davidson,initial,N2,Centropyxis_discoides,54
Davidson,initial,N2,Harpacticoida_adult,2
Davidson,initial,V8,Cyclopoida_adult,1
Davidson,initial,V8,Harpacticoida_nauplius,2
Davidson,initial,V8,Harpacticoida_adult,3
Davidson,initial,A7,Bdelloidea,14
Davidson,final,A8,Bdelloidea,23
Davidson,final,V4,Bdelloidea,3
Davidson,final,V4,Lecane_decipiens,1
Davidson,final,V4,Harpacticoida_nauplius,2
Davidson,final,N6,Bdelloidea,43
Davidson,final,N6,Lecane_decipiens,1
Davidson,final,N6,Centropyxis_aculeata,1
Davidson,final,N6,Tardigrada,1
Davidson,final,N2,Bdelloidea,5
Davidson,final,N2,Centropyxis_aculeata,12
Davidson,final,N2,Centropyxis_discoides,1
Davidson,final,N2,Harpacticoida_nauplius,2
Davidson,final,N2,Harpacticoida_adult,3
Davidson,final,V8,Bdelloidea,6
Davidson,final,V8,Centropyxis_aculeata,2
Davidson,final,V8,Centropyxis_discoides,1
Davidson,final,V8,Harpacticoida_nauplius,2
Davidson,final,A7,Bdelloidea,10
Davidson,final,A7,Centropyxis_aculeata,1
Smith,initial,A16,Bdelloidea,2
Smith,initial,N12,Bdelloidea,17
Smith,initial,V7,Cyclopoida_nauplius,1
Smith,initial,V7,Cyclopoida_adult,2
Smith,initial,V7,Harpacticoida_nauplius,3
Smith,initial,V7,Harpacticoida_adult,1
