block,sampling,bromeliad,Spp,abundance,duplicate_sample,notes
Baker,initial,A5,Bdelloidea,3,1,NA
Baker,initial,N5,Bdelloidea,51,1,NA
Baker,initial,N5,Harpacticoida_nauplius,1,1,NA
Baker,initial,V3,Bdelloidea,9,1,NA
Baker,initial,V3,Harpacticoida_nauplius,7,1,NA
Baker,initial,V3,Harpacticoida_adult,7,1,NA
Baker,initial,V3,Cyclopoida_adult,1,1,NA
Baker,initial,A6,Bdelloidea,6,1,NA
Baker,initial,A6,Cyclopoida_adult,2,1,NA
Baker,initial,V10,Bdelloidea,2,1,NA
Baker,initial,V10,Harpacticoida_nauplius,1,1,NA
Baker,initial,V10,Harpacticoida_adult,1,1,NA
Baker,initial,V10,Cyclopoida_nauplius,2,1,NA
Baker,initial,V10,Cyclopoida_adult,3,1,NA
Baker,initial,N1,Bdelloidea,3,1,NA
Baker,initial,N1,Centropyxis_aculeata,111,1,NA
Baker,initial,N1,Centropyxis_discoides,45,1,NA
Baker,initial,N1,Cyclopoida_adult,3,1,NA
Baker,final,A5,Bdelloidea,4,1,NA
Baker,final,N5,Bdelloidea,12,1,NA
Baker,final,V3,Bdelloidea,9,1,NA
Baker,final,V3,Harpacticoida_nauplius,7,1,NA
Baker,final,V3,Harpacticoida_adult,1,1,NA
Baker,final,A6,Bdelloidea,3,1,NA
Baker,final,V10,Bdelloidea,23,1,NA
Baker,final,V10,Harpacticoida_nauplius,6,1,NA
Baker,final,V10,Harpacticoida_adult,1,1,NA
Baker,final,N1,Bdelloidea,18,1,NA
Baker,final,N1,Centropyxis_aculeata,30,1,NA
Baker,final,N1,Centropyxis_discoides,8,1,NA
Baker,final,N1,Harpacticoida_adult,1,1,NA
Baker,final,N1,Cyclopoida_nauplius,1,1,NA
Eccleson,initial,N8,Bdelloidea,54,1,NA
Eccleson,initial,V9,Bdelloidea,1,1,NA
Eccleson,initial,V9,Harpacticoida_nauplius,2,1,NA
