code,brom.spp,Actual.water.held.(ml),Maximum.water-holding.capacity.(ml),Number.of.leaves,Bromeliad.diameter,Height.above.ground,Water.Temperature,pH,Chlorophyll.a,Turbidity,Water.Coloration.(430.nm),Total.Organic.Carbon.(TOC),Inorganic.Carbon.(IC),Dissolved.Organic.Carbon.(DOC),PO4,NH4+,NO3
VN1,VN,420,1630,67,50,0,45,4.51,0.1672,47.56,0.012,95.09,2.275,92.815,15.225,4.65,1.042
VN2,VN,80,1000,45,37,0,38,5.42,0.2568,33.36,0.025,42.65,1.923,40.727,0.026,10.05,7.339
VN3,VN,200,2000,70,46,0,35,4.95,2.4813,333.6,0.017,48.23,1.558,46.672,0.41,1.49,3.07
VN4,VN,325,1570,65,45,0,32,4.44,1.6218,615.9,0.096,54.44,2.735,51.705,26.06,17.27,6.433
VN5,VN,165,1400,80,40,0,28,4.48,1.7139,64.27,0.041,22.49,1.702,20.788,0.17,10.38,1.976
VN6,VN,115,710,42,38,0,29,4.74,0.0532,49.48,0.036,34.51,2.216,32.294,1.625,0.86,1.776
VN7,VN,205,880,59,32,0,29,4.94,0.1064,329.8,0.011,48.79,1.257,47.533,0.2,12.56,4.157
VN8,VN,350,650,70,45,0,35,4.27,0.0266,303.9,0.029,38.39,1.952,36.438,0.23,2.67,3.909
VN9,VN,475,550,42,50,0,36,5.09,8.956,66.69,0.031,35.74,2.409,33.331,1.09,5.14,1.096
VN10,VN,1015,1950,67,50,0,32,5.08,27.1658,56.42,0.046,386.1,6.344,379.756,0.75,3.84,2.934
VN11,VN,525,1190,68,65,0,31,5.48,8.7684,354.4,0.142,72.78,1.783,70.997,1.47,0.34,6.903
VN12,VN,730,3000,89,50,0,31,5.91,3.3345,375.4,0.175,73.55,2.162,71.388,0.59,3.12,1.624
VN13,VN,595,1300,44,61,0,30,5.09,5.8302,42.5,0.052,118.7,1.624,117.076,1.77,2.71,1.108
VN14,VN,755,2000,97,50,0,29,4.8,0.6331,29.36,0.055,478.5,13.505,464.995,1.61,0.34,3.297
